order_id,order_status,order_at
2019121824124115604023361,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091436203105354,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084700539320349,CANCELLED,2019-12-18T00:00:00.000Z
2019121824102340914932359,CANCELLED,2019-12-18T00:00:00.000Z
2019121824042509587647361,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091039618535353,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084709977936350,CANCELLED,2019-12-18T00:00:00.000Z
2019121824100335653045356,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091039618535353,CANCELLED,2019-12-18T00:00:00.000Z
2019121824100335653045356,CANCELLED,2019-12-18T00:00:00.000Z
2019121824124115604023361,CANCELLED,2019-12-18T00:00:00.000Z
2019121824102340914932359,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084700539320349,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091436203105354,CANCELLED,2019-12-18T00:00:00.000Z
2019121824042509587647361,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084709977936350,CANCELLED,2019-12-18T00:00:00.000Z
20191231241111112501902WA,CANCELLED,2019-12-23T00:00:00.000Z
20191231241111112501903WA,CANCELLED,2019-12-23T00:00:00.000Z
20191231241111112501903WA,CANCELLED,2019-12-23T00:00:00.000Z
20191231241111112501902WA,CANCELLED,2019-12-23T00:00:00.000Z
2019121824102340914932359,CANCELLED,2019-12-18T00:00:00.000Z
2019121824124115604023361,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084700539320349,CANCELLED,2019-12-18T00:00:00.000Z
2019121824100335653045356,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084709977936350,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091039618535353,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091436203105354,CANCELLED,2019-12-18T00:00:00.000Z
2019121824042509587647361,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091039618535353,CANCELLED,2019-12-18T00:00:00.000Z
2019121824124115604023361,CANCELLED,2019-12-18T00:00:00.000Z
2019121824100335653045356,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084709977936350,CANCELLED,2019-12-18T00:00:00.000Z
2019121824102340914932359,CANCELLED,2019-12-18T00:00:00.000Z
2019121824042509587647361,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084700539320349,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091436203105354,CANCELLED,2019-12-18T00:00:00.000Z
20191231241111112501902WA,CANCELLED,2019-12-23T00:00:00.000Z
20191231241111112501903WA,CANCELLED,2019-12-23T00:00:00.000Z
20191231241111112501903WA,CANCELLED,2019-12-23T00:00:00.000Z
20191231241111112501902WA,CANCELLED,2019-12-23T00:00:00.000Z
2019121824102340914932359,CANCELLED,2019-12-18T00:00:00.000Z
2019121824124115604023361,CANCELLED,2019-12-18T00:00:00.000Z
2019121824100335653045356,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084700539320349,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084709977936350,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091039618535353,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091436203105354,CANCELLED,2019-12-18T00:00:00.000Z
2019121824042509587647361,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084700539320349,CANCELLED,2019-12-18T00:00:00.000Z
2019121824084709977936350,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091039618535353,CANCELLED,2019-12-18T00:00:00.000Z
2019121824091436203105354,CANCELLED,2019-12-18T00:00:00.000Z
2019121824100335653045356,CANCELLED,2019-12-18T00:00:00.000Z
2019121824042509587647361,CANCELLED,2019-12-18T00:00:00.000Z
2019121824124115604023361,CANCELLED,2019-12-18T00:00:00.000Z
